ABDPN1	3	ALS1	8	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
ABDPNB	5	BLSU9	2	1XT, 1ECC, 1FS, 0BLS
AIRALERT	3	PHM	9	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG
AIRBORNR	9	SA	9	1ECC
AIRCRSHF	2	HMFULL	19	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
AIRCRSHFW	2	HMFULLWTR	15	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 1HMU, 2HMS, 2BT, 2SW, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
AIRCRSHP	3	PHM	8	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG
AIRCRSHPW	3	PHMWTR	12	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 2B, 2SW, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG, 1UAS
AIRFIREL	2	HMFULL	5	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
AIRFIRES	4	HMADAPT	4	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
AIRFULLE	2	HMFULL	9	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
AIRINVSTR	5	SE	18	1E, 1ECC, 1FS
AIRMINRE	3	PHM	9	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG
ALLERGIC1	3	ALS1	20	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
ALLERGIC2	2	ALS2	4	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
ALLERGICB	5	BLSU9	6	1XT, 1ECC, 1FS, 0BLS
ALRMAFA	6	FD1	3	1E, 1T, 1FS
ALRMAFAR	5	FD1	91	1E, 1T, 1FS
ALRMAMA	5	BLSM	1	1XT, 1MP, 1FS, 1XT, 1MP
ALRMCO	7	SCT	12	1T, 1ECC, 1FS
ALRMCOM	3	FDMULTP	3	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ALRMELEVR	7	SCT	1	1T, 1ECC, 1FS
ALRMHOMR	5	SCE	15	1MP, 1ECC, 1FS
ALRMSER	6	SCE	44	1MP, 1ECC, 1FS
ANMLBITE1	3	AL1D	8	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
ANMLBITE2	2	AL2D	1	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
ANMLBITEB	5	BLSU9	5	1XT, 1ECC, 1FS, 0BLS
APLNCADA	4	FE	10	2E, 1T, 1E, 1FS
APLNCADAB	4	FF	4	2E, 1T, 1XT, 1CWFULL, 1FS
APLNCB	4	FC	4	1E, 1XT, 1FS, 1E, 1XT
APLNCH	4	HMADAPT	2	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
APLNCM	3	FDMULTP	4	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
APLNCSE	5	SE	3	1E, 1ECC, 1FS
APLNCSER	6	SE	7	1E, 1ECC, 1FS
APPLIANCE	4	FE	24	2E, 1T, 1E, 1FS
ASSAULT1	3	AL1D	6	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
ASSAULT2	2	AL2D	3	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
ASSAULTB	5	BLSU9	18	1XT, 1ECC, 1FS, 0BLS
ASSAULTM	3	MLTP	3	2XT, 2ALS, 1MP, 1CWFULL
ASSAULTR	5	BLSU9	3	1XT, 1ECC, 1FS, 0BLS
AUTO	5	FC	2	1E, 1XT, 1FS, 1E, 1XT
BACKCNTRY	9	SA	54	1ECC
BACKPN1	3	ALS1	8	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
BLDGFIRE	2	FJ	93	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFIRET	1	FJ	27	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFIRS	4	FH	13	3E, 1T, 1XT, 1E, 1XT, 1BC, 1DC, 1CWFULL, 1TG
BLDGFIRSM	3	FH	1	3E, 1T, 1XT, 1E, 1XT, 1BC, 1DC, 1CWFULL, 1TG
BLDGFREX	2	HMFULLFEI	63	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HM751, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFREXH	2	HMFULLFEI	9	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HM751, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRH	2	HMFULL	12	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRHMT	1	HMFULL	4	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRHR	2	FK	9	5E, 3T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFRHRT	1	FK	3	5E, 3T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFRSME	4	HMADAPTFEI	18	2E, 1T, 2XT, 1ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRSMT	1	FJ	6	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
